target_name,time_point,salinity,fold_change,variance_sd
C3,72,15,1.173,0.101
C3,72,15,1.208,0.077
C3,72,15,1.217,0.109
C3,72,15,1.094,0.1
C3,72,15,1.095,0.109
C3,72,15,1.194,0.075
C3,72,15,1.205,0.083
C3,72,15,1.154,0.069
C3,72,15,1.127,0.079
C3,72,15,1.13,0.072
C3,72,15,1.169,0.071
C3,72,15,1.204,0.074
C3,168,15,0.16,0.011
C3,168,15,0.157,0.011
C3,168,15,0.151,0.011
C3,168,15,0.162,0.015
C3,168,15,0.157,0.012
C3,168,15,0.161,0.008
C3,168,15,0.167,0.014
C3,168,15,0.165,0.017
C3,168,15,0.145,0.012
C3,168,15,0.151,0.014
C3,168,15,0.149,0.01
C3,168,15,0.156,0.01
C3,168,15,0.159,0.008
C3,168,15,0.144,0.013
C3,168,15,0.151,0.01
C3,168,15,0.161,0.011
C3,168,15,0.153,0.008
C3,168,15,0.148,0.012
C3,0,25,1.656,0.164
C3,0,25,1.963,0.171
C3,0,25,1.863,0.104
C3,0,25,1.738,0.151
C3,0,25,1.71,0.133
C3,0,25,1.699,0.125
C3,0,25,1.778,0.153
C3,0,25,1.765,0.166
C3,0,25,1.811,0.117
C3,0,25,1.811,0.11
C3,0,25,1.741,0.167
C3,0,25,1.786,0.154
C3,0,25,1.721,0.151
C3,0,25,1.672,0.135
C3,0,25,1.832,0.129
C3,0,25,1.747,0.122
C3,0,25,1.656,0.16
C3,0,25,1.748,0.102
C3,0,25,1.739,0.123
C3,0,25,1.835,0.137
C3,0,25,1.936,0.139
C3,0,25,1.789,0.091
C3,0,25,1.748,0.112
C3,6,25,1.922,0.165
C3,6,25,2.081,0.157
C3,6,25,1.991,0.151
C3,6,25,2.111,0.203
C3,6,25,2.149,0.129
C3,6,25,1.952,0.155
C3,6,25,2.059,0.114
C3,6,25,2.126,0.155
C3,6,25,2.133,0.118
C3,6,25,2.164,0.189
C3,6,25,1.995,0.119
C3,6,25,2.077,0.129
C3,6,25,1.882,0.15
C3,6,25,2.045,0.131
C3,6,25,2.109,0.182
C3,6,25,1.928,0.192
C3,6,25,2.107,0.139
C3,6,25,2.059,0.127
C3,6,25,2.098,0.117
C3,12,25,1.788,0.127
C3,12,25,1.534,0.153
C3,12,25,1.676,0.146
C3,12,25,1.784,0.117
C3,12,25,1.785,0.173
C3,12,25,1.788,0.138
C3,12,25,1.719,0.102
C3,12,25,1.667,0.104
C3,12,25,1.771,0.167
C3,12,25,1.6,0.158
C3,12,25,1.754,0.107
C3,12,25,1.634,0.084
C3,12,25,1.649,0.163
C3,12,25,1.767,0.147
C3,12,25,1.795,0.117
C3,12,25,1.789,0.125
C3,12,25,1.659,0.13
C3,12,25,1.796,0.155
C3,12,25,1.67,0.096
C3,12,25,1.592,0.151
C3,12,25,1.72,0.135
C3,12,25,1.781,0.131
C3,12,25,1.736,0.087
C3,24,25,1.211,0.097
C3,24,25,1.207,0.106
C3,24,25,1.218,0.089
C3,24,25,1.168,0.089
C3,24,25,1.169,0.077
C3,24,25,1.246,0.08
C3,24,25,1.174,0.096
C3,24,25,1.155,0.065
C3,24,25,1.189,0.064
C3,24,25,1.087,0.106
C3,24,25,1.239,0.096
C3,24,25,1.149,0.08
C3,24,25,1.242,0.097
C3,24,25,1.218,0.116
C3,24,25,1.252,0.085
C3,24,25,1.255,0.092
C3,24,25,1.182,0.062
C3,24,25,1.137,0.102
C3,24,25,1.199,0.101
C3,24,25,1.182,0.071
C3,48,25,1.317,0.078
C3,48,25,1.305,0.081
C3,48,25,1.239,0.105
C3,48,25,1.18,0.108
C3,48,25,1.339,0.122
C3,48,25,1.226,0.079
C3,48,25,1.188,0.103
C3,48,25,1.249,0.115
C3,48,25,1.203,0.086
C3,48,25,1.272,0.081
C3,48,25,1.324,0.102
C3,48,25,1.217,0.118
C3,72,25,0.601,0.053
C3,72,25,0.609,0.037
C3,72,25,0.651,0.055
C3,72,25,0.638,0.039
C3,72,25,0.64,0.05
C3,72,25,0.601,0.054
C3,72,25,0.646,0.059
C3,72,25,0.634,0.045
C3,72,25,0.581,0.057
C3,72,25,0.615,0.052
C3,72,25,0.59,0.05
C3,72,25,0.614,0.033
C3,72,25,0.584,0.029
C3,72,25,0.592,0.041
C3,72,25,0.585,0.037
C3,72,25,0.567,0.037
C3,72,25,0.634,0.034
C3,72,25,0.622,0.047
C3,72,25,0.598,0.035
C3,72,25,0.569,0.032
C3,168,25,0.119,0.006
C3,168,25,0.106,0.01
C3,168,25,0.107,0.009
C3,168,25,0.126,0.01
C3,168,25,0.123,0.006
C3,168,25,0.125,0.011
C3,168,25,0.112,0.007
C3,168,25,0.111,0.007
C3,168,25,0.113,0.009
C3,168,25,0.117,0.008
C3,168,25,0.112,0.009
C3,168,25,0.111,0.009
C5,0,0,0.712,0.046
C5,0,0,0.679,0.047
C5,0,0,0.68,0.041
C5,0,0,0.7,0.043
C5,0,0,0.7,0.052
C5,0,0,0.761,0.064
C5,0,0,0.666,0.051
C5,0,0,0.67,0.05
C5,0,0,0.739,0.069
C5,0,0,0.713,0.064
C5,0,0,0.704,0.069
C5,0,0,0.774,0.064
C5,0,0,0.756,0.073
C5,0,0,0.708,0.036
C5,0,0,0.739,0.043
C5,0,0,0.709,0.066
C5,0,0,0.666,0.05
C5,0,0,0.709,0.037
C5,6,0,1.188,0.063
C5,6,0,1.146,0.1
C5,6,0,1.201,0.086
C5,6,0,1.136,0.085
C5,6,0,1.166,0.098
C5,6,0,1.109,0.066
C5,6,0,1.172,0.116
C5,6,0,1.133,0.078
C5,6,0,1.171,0.06
C5,6,0,1.064,0.087
C5,6,0,1.158,0.071
C5,6,0,1.214,0.1
C5,6,0,1.143,0.071
C5,6,0,1.207,0.116
C5,6,0,1.186,0.075
C5,6,0,1.141,0.065
C5,6,0,1.065,0.08
C5,12,0,0.812,0.042
C5,12,0,0.92,0.089
C5,12,0,0.819,0.063
C5,12,0,0.822,0.067
C5,12,0,0.844,0.058
C5,12,0,0.84,0.057
C5,12,0,0.86,0.056
C5,12,0,0.777,0.059
C5,12,0,0.869,0.057
C5,12,0,0.836,0.073
C5,12,0,0.871,0.054
C5,12,0,0.785,0.057
C5,12,0,0.848,0.07
C5,24,0,0.961,0.08
C5,24,0,0.884,0.074
C5,24,0,0.995,0.074
C5,24,0,0.998,0.094
C5,24,0,0.935,0.066
C5,24,0,0.895,0.068
C5,24,0,0.976,0.052
C5,24,0,0.934,0.067
C5,24,0,0.939,0.069
C5,24,0,0.998,0.089
C5,24,0,0.982,0.083
C5,24,0,0.926,0.057
C5,24,0,0.991,0.089
C5,48,0,1.142,0.105
C5,48,0,1.149,0.102
C5,48,0,1.239,0.078
C5,48,0,1.19,0.107
C5,48,0,1.264,0.099
C5,48,0,1.226,0.101
C5,48,0,1.228,0.069
C5,48,0,1.221,0.087
C5,48,0,1.223,0.066
C5,48,0,1.126,0.107
C5,48,0,1.245,0.091
C5,48,0,1.213,0.078
C5,48,0,1.096,0.091
C5,48,0,1.078,0.107
C5,48,0,1.119,0.096
C5,48,0,1.204,0.106
C5,72,0,1.17,0.069
C5,72,0,1.147,0.071
C5,72,0,1.139,0.106
C5,72,0,1.146,0.058
C5,72,0,1.125,0.07
C5,72,0,1.105,0.07
C5,72,0,1.092,0.068
C5,72,0,1.206,0.063
C5,72,0,1.138,0.103
C5,72,0,1.144,0.074
C5,72,0,1.142,0.092
C5,72,0,1.181,0.088
C5,72,0,1.11,0.069
C5,72,0,1.211,0.082
C5,72,0,1.18,0.086
C5,72,0,1.099,0.088
C5,168,0,0.782,0.063
C5,168,0,0.825,0.057
C5,168,0,0.818,0.06
C5,168,0,0.816,0.056
C5,168,0,0.878,0.068
C5,168,0,0.816,0.067
C5,168,0,0.739,0.073
C5,168,0,0.813,0.077
C5,168,0,0.83,0.054
C5,168,0,0.752,0.063
C5,168,0,0.84,0.07
C5,168,0,0.791,0.046
C5,168,0,0.871,0.078
C5,168,0,0.878,0.074
C5,168,0,0.777,0.054
C5,168,0,0.77,0.064
C5,168,0,0.87,0.058
C5,168,0,0.874,0.068
C5,168,0,0.814,0.053
C5,168,0,0.882,0.069
C5,168,0,0.791,0.063
C5,168,0,0.836,0.061
C5,168,0,0.762,0.066
C5,0,15,0.858,0.068
C5,0,15,0.943,0.087
C5,0,15,0.889,0.063
C5,0,15,0.914,0.061
C5,0,15,1.003,0.097
C5,0,15,0.979,0.095
C5,0,15,0.861,0.086
C5,0,15,0.983,0.063
C5,0,15,0.894,0.049
C5,0,15,0.916,0.049
C5,0,15,0.937,0.053
C5,0,15,0.965,0.058
C5,0,15,0.869,0.074
C5,0,15,0.931,0.057
C5,0,15,0.958,0.089
C5,6,15,1.084,0.107
C5,6,15,1.02,0.082
C5,6,15,1.063,0.08
C5,6,15,1.078,0.077
C5,6,15,0.97,0.066
C5,6,15,0.947,0.093
C5,6,15,1.012,0.095
C5,6,15,1.101,0.098
C5,6,15,0.988,0.06
C5,6,15,1.042,0.085
C5,6,15,1.067,0.079
C5,6,15,1.034,0.073
C5,12,15,2.056,0.203
C5,12,15,1.782,0.121
C5,12,15,1.736,0.162
C5,12,15,1.839,0.184
C5,12,15,1.874,0.113
C5,12,15,1.923,0.097
C5,12,15,1.893,0.135
C5,12,15,1.953,0.161
C5,12,15,1.984,0.159
C5,12,15,1.965,0.137
C5,12,15,1.964,0.142
C5,12,15,1.896,0.148
C5,12,15,1.873,0.17
C5,12,15,1.898,0.099
C5,12,15,1.815,0.136
C5,12,15,1.975,0.103
C5,12,15,1.788,0.119
C5,12,15,2.01,0.165
C5,12,15,1.863,0.107
C5,12,15,1.955,0.147
C5,12,15,1.78,0.124
C5,24,15,1.692,0.119
C5,24,15,1.75,0.122
C5,24,15,1.736,0.099
C5,24,15,1.877,0.129
C5,24,15,1.86,0.12
C5,24,15,1.662,0.144
C5,24,15,1.781,0.097
C5,24,15,1.85,0.163
C5,24,15,1.764,0.124
C5,24,15,1.767,0.143
C5,24,15,1.851,0.133
C5,24,15,1.709,0.168
C5,24,15,1.7,0.159
C5,24,15,1.754,0.105
C5,24,15,1.811,0.162
C5,24,15,1.858,0.125
C5,48,15,3.056,0.222
C5,48,15,2.913,0.246
C5,48,15,3.225,0.317
C5,48,15,3.044,0.266
C5,48,15,3.262,0.206
C5,48,15,2.94,0.292
C5,48,15,3.217,0.237
C5,48,15,3.1,0.226
C5,48,15,3.051,0.161
C5,48,15,3.069,0.196
C5,48,15,3.068,0.189
C5,48,15,3.156,0.249
C5,48,15,3.039,0.253
C5,48,15,3.319,0.283
C5,48,15,3.251,0.319
C5,48,15,3.206,0.172
C5,48,15,3.092,0.263
C5,48,15,3.224,0.213
C5,48,15,3.008,0.268
C5,48,15,2.947,0.162
C5,48,15,3.147,0.179
C5,48,15,3.098,0.194
C5,48,15,3.225,0.18
C5,72,15,4.289,0.392
C5,72,15,4.2,0.334
C5,72,15,3.563,0.351
C5,72,15,3.856,0.196
C5,72,15,3.896,0.386
C5,72,15,3.991,0.212
C5,72,15,3.918,0.374
C5,72,15,3.924,0.346
C5,72,15,3.635,0.355
C5,72,15,4.2,0.401
C5,72,15,3.895,0.262
C5,72,15,3.991,0.224
C5,168,15,27.382,1.711
C5,168,15,27.381,1.666
C5,168,15,24.862,2.195
C5,168,15,25.025,2.041
C5,168,15,27.6,2.368
C5,168,15,25.212,1.314
C5,168,15,24.93,1.287
C5,168,15,25.184,2.222
C5,168,15,25.382,1.461
C5,168,15,25.056,1.667
C5,168,15,24.492,1.788
C5,168,15,27.72,2.084
C5,168,15,24.647,2.382
C5,168,15,25.629,2.171
C5,168,15,27.719,2.435
C5,0,25,0.735,0.041
C5,0,25,0.734,0.049
C5,0,25,0.676,0.058
C5,0,25,0.715,0.038
C5,0,25,0.725,0.043
C5,0,25,0.7,0.059
C5,0,25,0.704,0.06
C5,0,25,0.753,0.053
C5,0,25,0.703,0.063
C5,0,25,0.708,0.046
C5,0,25,0.785,0.054
C5,0,25,0.779,0.06
C5,0,25,0.761,0.041
C5,0,25,0.729,0.046
C5,0,25,0.739,0.048
C5,0,25,0.759,0.039
C5,0,25,0.784,0.056
C5,0,25,0.782,0.057
C5,0,25,0.781,0.051
C5,0,25,0.698,0.044
C5,0,25,0.733,0.047
C5,0,25,0.698,0.064
C5,0,25,0.746,0.055
C5,6,25,1.787,0.174
C5,6,25,1.757,0.098
C5,6,25,1.817,0.155
C5,6,25,1.798,0.11
C5,6,25,1.656,0.104
C5,6,25,1.795,0.177
C5,6,25,1.726,0.137
C5,6,25,1.745,0.118
C5,6,25,1.833,0.134
C5,6,25,1.621,0.15
C5,6,25,1.6,0.146
C5,6,25,1.657,0.098
C5,6,25,1.822,0.123
C5,6,25,1.618,0.147
C5,12,25,1.877,0.152
C5,12,25,1.857,0.127
C5,12,25,1.717,0.156
C5,12,25,1.721,0.087
C5,12,25,1.727,0.124
C5,12,25,1.76,0.1
C5,12,25,1.836,0.146
C5,12,25,1.71,0.158
C5,12,25,1.815,0.177
C5,12,25,1.64,0.137
C5,12,25,1.67,0.153
C5,12,25,1.676,0.143
C5,12,25,1.866,0.111
C5,12,25,1.811,0.158
C5,12,25,1.727,0.139
C5,12,25,1.861,0.151
C5,12,25,1.799,0.132
C5,12,25,1.668,0.16
C5,12,25,1.759,0.139
C5,12,25,1.81,0.135
C5,24,25,2.694,0.181
C5,24,25,2.792,0.226
C5,24,25,2.532,0.19
C5,24,25,2.513,0.217
C5,24,25,2.811,0.28
C5,24,25,2.62,0.188
C5,24,25,2.483,0.188
C5,24,25,2.589,0.187
C5,24,25,2.502,0.168
C5,24,25,2.643,0.232
C5,24,25,2.713,0.246
C5,24,25,2.442,0.224
C5,24,25,2.582,0.139
C5,24,25,2.489,0.157
C5,48,25,3.078,0.205
C5,48,25,2.974,0.159
C5,48,25,2.923,0.277
C5,48,25,3.145,0.267
C5,48,25,2.968,0.195
C5,48,25,3.131,0.224
C5,48,25,3.022,0.286
C5,48,25,3.006,0.187
C5,48,25,3.001,0.258
C5,48,25,2.82,0.166
C5,48,25,2.967,0.159
C5,48,25,2.85,0.186
C5,72,25,6.18,0.428
C5,72,25,6.105,0.51
C5,72,25,6.694,0.478
C5,72,25,6.01,0.422
C5,72,25,6.073,0.387
C5,72,25,6.569,0.619
C5,72,25,6.4,0.63
C5,72,25,6.452,0.634
C5,72,25,6.25,0.35
C5,72,25,6.58,0.566
C5,72,25,6.48,0.418
C5,72,25,6.219,0.37
C5,72,25,5.872,0.551
C5,72,25,6.667,0.655
C5,72,25,6.517,0.522
C5,72,25,6.554,0.452
C5,168,25,43.187,4.19
C5,168,25,48.178,3.967
C5,168,25,44.209,2.671
C5,168,25,47.212,3.031
C5,168,25,47.395,3.457
C5,168,25,48.154,2.58
C5,168,25,44.024,3.487
C5,168,25,45.046,2.278
C5,168,25,47.052,2.424
C5,168,25,43.19,3.883
C5,168,25,45.601,4.533
C5,168,25,43.723,3.454
C5,168,25,46.067,3.547
C5,168,25,49.484,3.325
C5,168,25,47.521,2.554
C5,168,25,45.93,4.295
C5,168,25,44.351,4.196
